business_id	user_id	cool	funny	useful	stars	sentiment	negative	neutral	positive	compound
AakkkTuGZA2KBodKi2_u8A	TpyOT5E16YASd7EWjLQlrw	0	1	1	1.0	{'neg': 0.091, 'neu': 0.9, 'pos': 0.009, 'compound': -0.9455}	0.091	0.9	0.009	-0.9455
YvrylyuWgbP90RgMqZQVnQ	NJlxGtouq06hhC7sS2ECYw	0	0	0	5.0	{'neg': 0.078, 'neu': 0.833, 'pos': 0.089, 'compound': -0.0091}	0.078	0.833	0.089	-0.0091
NyLYY8q1-H3hfsTwuwLPCg	86J5DwcFk4f4In1Vxe2TvA	0	0	0	4.0	{'neg': 0.0, 'neu': 0.628, 'pos': 0.372, 'compound': 0.9808}	0.0	0.628	0.372	0.9808
cHdJXLlKNWixBXpDwEGb_A	JSrP-dUmLlwZiI7Dp3PQ2A	1	7	1	3.0	{'neg': 0.089, 'neu': 0.811, 'pos': 0.101, 'compound': 0.8385}	0.089	0.811	0.101	0.8385
6lj2BJ4tJeu7db5asGHQ4w	6Fz_nus_OG4gar721OKgZA	0	0	0	5.0	{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.9622}	0.0	0.642	0.358	0.9622
y-Iw6dZflNix4BdwIyTNGA	_N7Ndn29bpll_961oPeEfw	0	0	0	3.0	{'neg': 0.135, 'neu': 0.799, 'pos': 0.066, 'compound': -0.9203}	0.135	0.799	0.066	-0.9203
qx6WhZ42eDKmBchZDax4dQ	DzZ7piLBF-WsJxqosfJgtA	0	0	1	5.0	{'neg': 0.0, 'neu': 0.453, 'pos': 0.547, 'compound': 0.9495}	0.0	0.453	0.547	0.9495
Mem13A3C202RzT53npn4NA	5JVY32_bmTBfIGpCCsnAfw	9	6	9	5.0	{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.9956}	0.0	0.682	0.318	0.9956
I4Nr-MVc26qWr08-S3Q1ow	3CJUJILq7CLHk_9OrvpvQg	0	0	0	4.0	{'neg': 0.042, 'neu': 0.784, 'pos': 0.174, 'compound': 0.8882}	0.042	0.784	0.174	0.8882
d_L-rfS1vT3JMzgCUGtiow	2mxBNBeFrgDszqGS5tdEHA	0	0	0	5.0	{'neg': 0.091, 'neu': 0.582, 'pos': 0.328, 'compound': 0.8805}	0.091	0.582	0.328	0.8805
Sfc8Haz2Yri8Mo1L0E0TsA	8NwU4TRsD3S6gIfBqFzDMQ	0	0	0	5.0	{'neg': 0.0, 'neu': 0.627, 'pos': 0.373, 'compound': 0.9668}	0.0	0.627	0.373	0.9668
FQ1wBQb3aNeRMThSQEV0Qg	vXZeHaLvdfCPATz5BDavow	0	0	4	5.0	{'neg': 0.1, 'neu': 0.681, 'pos': 0.22, 'compound': 0.8716}	0.1	0.681	0.22	0.8716
hd5xm20tfSa70-6UqD9-bg	vDr8hBNYigiY70fk1kF5iQ	1	1	7	1.0	{'neg': 0.141, 'neu': 0.791, 'pos': 0.069, 'compound': -0.9559}	0.141	0.791	0.069	-0.9559
Gyrez6K8f1AyR7dzW9fvAw	TTRVdTXKcq-xn6-1IWbwEw	1	0	0	5.0	{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.9684}	0.0	0.562	0.438	0.9684
9nTF596jDvBBia2EXXiOOg	q3GeSW9dWN9r_ocqFkhrvg	0	0	1	1.0	{'neg': 0.1, 'neu': 0.823, 'pos': 0.076, 'compound': -0.2804}	0.1	0.823	0.076	-0.2804
SNL64axQhCO6Z7ohcWg3wA	yxyRt-zoh_A6PMThX-h9Vw	0	0	0	1.0	{'neg': 0.075, 'neu': 0.842, 'pos': 0.083, 'compound': 0.8294}	0.075	0.842	0.083	0.8294
dm6sO_Y8JdKTE1ZM955yug	C_hUvw2z0R-Rv0yZb6QCZA	0	0	0	5.0	{'neg': 0.026, 'neu': 0.665, 'pos': 0.309, 'compound': 0.9864}	0.026	0.665	0.309	0.9864
XTzKRvWciP_BZ9imk8mmPQ	1fi6x4tnJtlVWaJmoIO9XA	0	1	5	1.0	{'neg': 0.088, 'neu': 0.882, 'pos': 0.03, 'compound': -0.9544}	0.088	0.882	0.03	-0.9544
CDpoJiqgM04wqQTZ6QkTqQ	tFICmdLtwgFIRcwtlbYQOg	0	0	0	1.0	{'neg': 0.249, 'neu': 0.613, 'pos': 0.138, 'compound': -0.6187}	0.249	0.613	0.138	-0.6187
3JxKzWquEbPC3yPIfoCiLw	uFVAAe0JC81IPmxgT49Hcw	0	0	0	5.0	{'neg': 0.0, 'neu': 0.512, 'pos': 0.488, 'compound': 0.9587}	0.0	0.512	0.488	0.9587
YSUcHqlKMPHHJ_cTrqtNrA	DbccYu3OppWKl21OanZnTg	0	0	0	1.0	{'neg': 0.058, 'neu': 0.765, 'pos': 0.177, 'compound': 0.9806}	0.058	0.765	0.177	0.9806
N0apJkxIem2E8irTBRKnHw	en0xQXlvRk-ZtKlaW4I8eQ	0	0	0	2.0	{'neg': 0.046, 'neu': 0.795, 'pos': 0.16, 'compound': 0.9574}	0.046	0.795	0.16	0.9574
sMzNLdhJZGzYirIWt-fMAg	_o740mSNRhMNYuPjSJoPLg	0	0	0	5.0	{'neg': 0.118, 'neu': 0.83, 'pos': 0.052, 'compound': -0.5096}	0.118	0.83	0.052	-0.5096
IMLrj2klosTFvPRLv56cng	fxrQSMhHlBv6eJVRdchG9Q	1	1	1	4.0	{'neg': 0.0, 'neu': 0.799, 'pos': 0.201, 'compound': 0.9067}	0.0	0.799	0.201	0.9067
5OZlLXjU0FXUbrw8Scja6g	wNyiw6GfVfn5Kphqmux1gw	0	0	0	1.0	{'neg': 0.049, 'neu': 0.875, 'pos': 0.075, 'compound': 0.722}	0.049	0.875	0.075	0.722
m7ommfJFalI47UksyX04Iw	tAcB1ZohRtjozsymvqqHzQ	1	2	6	1.0	{'neg': 0.058, 'neu': 0.852, 'pos': 0.09, 'compound': 0.6124}	0.058	0.852	0.09	0.6124
m7ommfJFalI47UksyX04Iw	5rWm6uBPeewOiml4pcqp3w	0	0	0	4.0	{'neg': 0.018, 'neu': 0.739, 'pos': 0.243, 'compound': 0.9983}	0.018	0.739	0.243	0.9983
RbrZJEf8TlnP7RHaKnCtIQ	ITSnuLOu81doC5GGT5NMSQ	1	0	2	3.0	{'neg': 0.015, 'neu': 0.767, 'pos': 0.217, 'compound': 0.9867}	0.015	0.767	0.217	0.9867
wJj1EwYcXHdvA9zKqmb5hQ	zFYFuufYWQSPj0r5lrKQKg	0	0	0	5.0	{'neg': 0.171, 'neu': 0.727, 'pos': 0.102, 'compound': -0.6476}	0.171	0.727	0.102	-0.6476
jScBTQtdAt-8RshaiBEHgw	Z_HE_KKT7N-WddPTzUQC7A	1	0	1	5.0	{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.9666}	0.0	0.736	0.264	0.9666
ujHiaprwCQ5ewziu0Vi9rw	SvMGr_Oih7ivtzmnCL-Tmg	0	0	1	1.0	{'neg': 0.066, 'neu': 0.868, 'pos': 0.066, 'compound': -0.2694}	0.066	0.868	0.066	-0.2694
6sATfFam9_q9uod0I2aCsg	D-vYE3HILl7Qk1UhYqZXYQ	0	0	1	5.0	{'neg': 0.142, 'neu': 0.523, 'pos': 0.334, 'compound': 0.8221}	0.142	0.523	0.334	0.8221
EIL41z-hvVCeYHqfA9PyWQ	jAVtSgE5L-Dt6_I5FIiVGA	1	0	1	5.0	{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.9501}	0.0	0.669	0.331	0.9501
jzveTy7ogH7cg9axZ78ENg	54kpqrxF9DEPpwa51hO_Bw	0	0	0	4.0	{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.734}	0.0	0.66	0.34	0.734
OVTZNSkSfbl3gVB9XQIJfw	8vIK6ndl8yzIdmSDnGp0tw	0	0	0	4.0	{'neg': 0.092, 'neu': 0.661, 'pos': 0.247, 'compound': 0.9837}	0.092	0.661	0.247	0.9837
9MbGG8PxrlpBWVm3QyWy_g	vVhE4lGdsGK5rQgBfOGFxA	0	0	3	1.0	{'neg': 0.103, 'neu': 0.626, 'pos': 0.271, 'compound': 0.922}	0.103	0.626	0.271	0.922
FBSWwaE6gR7KAOyG1QhakQ	jsOz-dWToun2VsFcFAfGww	0	0	0	5.0	{'neg': 0.0, 'neu': 0.536, 'pos': 0.464, 'compound': 0.9633}	0.0	0.536	0.464	0.9633
X5uxdU9GHoUAqo2wmbg3OQ	0nTJWagRU8_-KS1x7Zw5Yw	1	0	0	5.0	{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.9507}	0.0	0.621	0.379	0.9507
rBo_suDMdGmFQ0TtYg3b2Q	PttoI2Meg76KVB8JxjC5Xw	0	0	4	1.0	{'neg': 0.058, 'neu': 0.915, 'pos': 0.027, 'compound': -0.7135}	0.058	0.915	0.027	-0.7135
eoyvbnRYQe-z85e8Rc6vAg	ROsjOYL8Jwv-q78mNm69Hg	0	0	1	4.0	{'neg': 0.075, 'neu': 0.627, 'pos': 0.297, 'compound': 0.7951}	0.075	0.627	0.297	0.7951
5FIOXmUE3qMviX9GafGH-Q	SAM29wXWmT0-aRMXt0RQzQ	0	0	0	5.0	{'neg': 0.046, 'neu': 0.517, 'pos': 0.437, 'compound': 0.9698}	0.046	0.517	0.437	0.9698
hcFSc0OHgZJybnjQBrL_8Q	JjDR060LJQcNNVWKuU64fA	1	0	1	4.0	{'neg': 0.028, 'neu': 0.772, 'pos': 0.2, 'compound': 0.9874}	0.028	0.772	0.2	0.9874
OVTZNSkSfbl3gVB9XQIJfw	POr1NTWV45OaNCOLfb47fw	0	0	0	3.0	{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.829}	0.0	0.929	0.071	0.829
WsdmzI2giWHcRN2plprxIg	0FMte0z-repSVWSJ_BaQTg	4	14	5	2.0	{'neg': 0.095, 'neu': 0.829, 'pos': 0.077, 'compound': -0.8212}	0.095	0.829	0.077	-0.8212
MjeeiLhVq3-BBz-A997r0w	2H2mj0pJtzAqWL2zJ4m3Jw	0	1	0	5.0	{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.9736}	0.0	0.836	0.164	0.9736
dZVMp70AuSa4dQPvx3J4ow	PFNZVn73upq3oZDG2KnAqA	1	0	2	3.0	{'neg': 0.012, 'neu': 0.814, 'pos': 0.174, 'compound': 0.9907}	0.012	0.814	0.174	0.9907
oSDyex506Y8H7YegcRb_9g	0T2qMGDRJJSrhxpy4h3wNg	0	0	1	2.0	{'neg': 0.02, 'neu': 0.939, 'pos': 0.041, 'compound': 0.2382}	0.02	0.939	0.041	0.2382
FBSWwaE6gR7KAOyG1QhakQ	OnYEKooAtI2zTRqBLLIfvA	0	0	0	5.0	{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.8628}	0.0	0.696	0.304	0.8628
SU56w479vUfFHsvmvQIf7A	DoRCeCcJbrsM2BiAKj3trA	6	5	7	4.0	{'neg': 0.043, 'neu': 0.783, 'pos': 0.175, 'compound': 0.937}	0.043	0.783	0.175	0.937
dInxwF8kXVdfLEGTIBRrSw	DAssyKNnYBenf0s1uP5iRw	0	1	0	2.0	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	1.0	0.0	0.0
ZCsvwa_dsqNB8d8tYHPdjw	Fyn9aNWs0Qcz6T-uIJal4w	0	0	0	4.0	{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.9902}	0.0	0.783	0.217	0.9902
PZMpjUQ9_JVCf4Htu6vZYg	3owWXgw7_Czt5o35dVYOkg	0	0	1	1.0	{'neg': 0.104, 'neu': 0.815, 'pos': 0.081, 'compound': 0.4}	0.104	0.815	0.081	0.4
FYkm4c2CujTSPpqSM4TbuQ	wvBp1Ar-izuKnI9uBHWufQ	0	0	0	5.0	{'neg': 0.028, 'neu': 0.649, 'pos': 0.323, 'compound': 0.9565}	0.028	0.649	0.323	0.9565
aNe8ofTYrealxqv7VtFTuw	ABUt9wCHRsSpa8i7rtNAuQ	0	2	0	1.0	{'neg': 0.0, 'neu': 0.966, 'pos': 0.034, 'compound': 0.4749}	0.0	0.966	0.034	0.4749
CZKkoMlqu0N0zCFK-3T_Fg	X-5IICsYwqImns4WxHi91Q	0	0	1	4.0	{'neg': 0.0, 'neu': 0.523, 'pos': 0.477, 'compound': 0.807}	0.0	0.523	0.477	0.807
ZNB91myFoOYgyXoG5LQeGQ	liUNZm0tOJJ-d-pFCdqu9A	0	0	1	1.0	{'neg': 0.102, 'neu': 0.802, 'pos': 0.096, 'compound': 0.2201}	0.102	0.802	0.096	0.2201
KjicU7uxRt2KDEnO5cgxDQ	gt9w3MAaBemQsUCS_xapMw	0	0	0	1.0	{'neg': 0.041, 'neu': 0.921, 'pos': 0.038, 'compound': -0.2467}	0.041	0.921	0.038	-0.2467
anzCdD5eIEHwydTpXhLlUA	vDlrf84X8yu-CZ-8isrOSw	1	0	0	4.0	{'neg': 0.058, 'neu': 0.807, 'pos': 0.135, 'compound': 0.9286}	0.058	0.807	0.135	0.9286
z9aXGRH8xtqpNDFE5_I3KA	II8eB5mYk200GW-m-wpsug	0	0	0	4.0	{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.9718}	0.0	0.727	0.273	0.9718
74C1z6cqEdvJVgETTcEodw	JggB3gMgP1j5aKHmC4vpBw	0	0	0	4.0	{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.9647}	0.0	0.534	0.466	0.9647
smIh1HppyfXphiGMJPnZDg	Hxs41092f4HDP-q9_Q-RhA	0	0	0	5.0	{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.9828}	0.0	0.794	0.206	0.9828
1HD5iUUfVJDbfEBIn9yVhw	XPZVfP7DQCSL3Nb9t2vxsA	11	8	11	5.0	{'neg': 0.028, 'neu': 0.716, 'pos': 0.256, 'compound': 0.9959}	0.028	0.716	0.256	0.9959
CGUK3cd2gxp2q3KPY19Oog	hzny0aF2jcUaY8rXN2bfJQ	0	0	0	5.0	{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.871}	0.0	0.619	0.381	0.871
nDaW2hhQV5KYiGH7HzAOcg	hTZb1INhnCG8URaFywVoYQ	1	0	1	3.0	{'neg': 0.029, 'neu': 0.824, 'pos': 0.147, 'compound': 0.9387}	0.029	0.824	0.147	0.9387
6xgcHeLad-VaoTIQewK84A	eJEcCIzJ5bqc0QpRGHSVCw	1	0	0	4.0	{'neg': 0.064, 'neu': 0.784, 'pos': 0.152, 'compound': 0.7845}	0.064	0.784	0.152	0.7845
vhIJ91MDgUuk4Cr9Kpj1Nw	1BcNXW9_Y16TIofPVpFqIA	0	0	2	1.0	{'neg': 0.014, 'neu': 0.901, 'pos': 0.085, 'compound': 0.886}	0.014	0.901	0.085	0.886
8KmqWgL0UEdxJFwTZ_YZvQ	SYRRQJoa5gQ8Duev4uSWag	0	0	0	5.0	{'neg': 0.055, 'neu': 0.747, 'pos': 0.198, 'compound': 0.6588}	0.055	0.747	0.198	0.6588
E9HN0nA8eRsIBZYkL0H3xA	THirRdo5CwitTPyqV28NyQ	0	0	0	4.0	{'neg': 0.06, 'neu': 0.661, 'pos': 0.279, 'compound': 0.8059}	0.06	0.661	0.279	0.8059
5qG4UHurI1yEozwn25WAFw	fVK8D0rE9ez1fsQNW_bzRA	3	1	5	2.0	{'neg': 0.05, 'neu': 0.794, 'pos': 0.157, 'compound': 0.9756}	0.05	0.794	0.157	0.9756
yNPh5SO-7wr8HPpVCDPbXQ	6kEFHccntnYMF_7cdqCcKg	0	0	0	5.0	{'neg': 0.036, 'neu': 0.641, 'pos': 0.323, 'compound': 0.9872}	0.036	0.641	0.323	0.9872
sk0stgY4NDJYOX1MbNJ3Pg	WThN-4czFfMs1vYhvaf_9A	0	0	0	1.0	{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.7717}	0.115	0.885	0.0	-0.7717
HhVmDybpU7L50Kb5A0jXTg	J6YedGZVdhagKKaIqgzIAw	0	0	0	4.0	{'neg': 0.015, 'neu': 0.86, 'pos': 0.125, 'compound': 0.986}	0.015	0.86	0.125	0.986
5n2dA_QqO4c_7pSK0Of6AQ	8fpiTkK4MO5jJIXHFV4t5Q	1	1	3	1.0	{'neg': 0.204, 'neu': 0.639, 'pos': 0.157, 'compound': -0.6951}	0.204	0.639	0.157	-0.6951
jg72eKbD8rlv0i1DRN5uxQ	3Ft0HhzBP-iknnHt-PFX8g	0	0	0	1.0	{'neg': 0.024, 'neu': 0.968, 'pos': 0.008, 'compound': -0.5569}	0.024	0.968	0.008	-0.5569
EgwGTDZ705TwudPJwAY0yQ	To4ATBBNlnC5gzj0dwXfuA	0	0	2	5.0	{'neg': 0.025, 'neu': 0.809, 'pos': 0.166, 'compound': 0.9618}	0.025	0.809	0.166	0.9618
R_atwP6fr34SoXcOuGDp0A	lOV7GDN5azjfW81xKma4Xw	0	0	0	5.0	{'neg': 0.047, 'neu': 0.812, 'pos': 0.141, 'compound': 0.5487}	0.047	0.812	0.141	0.5487
GdCRQU3VCh_x8fY84mbwYQ	MQq_1AlcDWsyNs7Ot8J4OQ	3	1	1	5.0	{'neg': 0.041, 'neu': 0.769, 'pos': 0.19, 'compound': 0.9476}	0.041	0.769	0.19	0.9476
PFmB_iraAbTN9XMka7soqQ	0v0aVNJEixurV1Ib0iqzJg	0	0	1	5.0	{'neg': 0.09, 'neu': 0.745, 'pos': 0.165, 'compound': 0.7591}	0.09	0.745	0.165	0.7591
1Kq_blM7ROYESz6i6FI_QQ	-bFRtLmkx7aXKf0oqFKpRg	0	0	1	4.0	{'neg': 0.067, 'neu': 0.74, 'pos': 0.193, 'compound': 0.9327}	0.067	0.74	0.193	0.9327
Sxe7h922Dqv9HzfTH-8O7w	KS__VsKYJbz-40HdyzeQNA	0	0	0	1.0	{'neg': 0.066, 'neu': 0.877, 'pos': 0.057, 'compound': -0.658}	0.066	0.877	0.057	-0.658
_iUlt5rm-15QoLw0MEEg5A	9QoXklTk-Fl1Q1Cy8fCbdQ	1	1	1	3.0	{'neg': 0.095, 'neu': 0.681, 'pos': 0.224, 'compound': 0.7823}	0.095	0.681	0.224	0.7823
sT6KKMATRTiNSJ896D7l2w	aXhMt_8ZDmfpr2QZ3zlmog	0	0	0	4.0	{'neg': 0.064, 'neu': 0.704, 'pos': 0.232, 'compound': 0.833}	0.064	0.704	0.232	0.833
Gyrez6K8f1AyR7dzW9fvAw	N6zhXHPIrCXommDEg0Rw3g	1	1	3	2.0	{'neg': 0.042, 'neu': 0.863, 'pos': 0.096, 'compound': 0.9555}	0.042	0.863	0.096	0.9555
xS5HGqgk0KY2jFWU-l_nrA	pHKISjytTmP0LrP952_32w	0	0	0	4.0	{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.9443}	0.0	0.727	0.273	0.9443
XXW_OFaYQkkGOGniujZFHg	dL1qnksdX2LW4DbNI9XNoA	0	0	0	4.0	{'neg': 0.057, 'neu': 0.674, 'pos': 0.27, 'compound': 0.9832}	0.057	0.674	0.27	0.9832
HhVmDybpU7L50Kb5A0jXTg	2Klw_6aXH_aVcOXPiFHRzg	0	0	0	5.0	{'neg': 0.056, 'neu': 0.673, 'pos': 0.271, 'compound': 0.9616}	0.056	0.673	0.271	0.9616
PycR_Mr5jA9jB4Xg3nX0Yw	oAOE4UAC5ZbAjEGBEMCb4g	1	1	14	1.0	{'neg': 0.114, 'neu': 0.822, 'pos': 0.064, 'compound': -0.6715}	0.114	0.822	0.064	-0.6715
0Yeb_P24sj6MwG2qmuehkA	fX_E3GLT8iwc2M8Thy2wmA	0	0	0	4.0	{'neg': 0.068, 'neu': 0.674, 'pos': 0.259, 'compound': 0.7496}	0.068	0.674	0.259	0.7496
1A1b0ELki8v-C-0VtdoGAg	ag5GlfKKtjcnNw2VgVxNRg	0	0	2	4.0	{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.7339}	0.0	0.928	0.072	0.7339
ZLuWpmvO41w2bSwufgfUlQ	2ROluW4TNFbkO3qLtihhaQ	3	0	1	5.0	{'neg': 0.011, 'neu': 0.681, 'pos': 0.308, 'compound': 0.9838}	0.011	0.681	0.308	0.9838
xHZmM-kGXqOfmQNTm0T05g	dW6bAWM1HbPdk_cGS_a2HA	0	0	1	3.0	{'neg': 0.006, 'neu': 0.86, 'pos': 0.134, 'compound': 0.98}	0.006	0.86	0.134	0.98
01o6K5ID_vW8tXZ7QAzPJg	n5lEgdrkMlQd0_myn51j9g	0	0	0	5.0	{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.8934}	0.0	0.828	0.172	0.8934
zk3AimWhuz0EZsNgIddKdg	v7FPnMzdbl6J7U_8H1BWZA	0	0	1	1.0	{'neg': 0.193, 'neu': 0.648, 'pos': 0.159, 'compound': -0.0406}	0.193	0.648	0.159	-0.0406
LprNAY4S7Vthc-hnqLI3Pw	YZ7AZjkfvZIIMs-erSljiw	0	0	1	5.0	{'neg': 0.021, 'neu': 0.588, 'pos': 0.391, 'compound': 0.994}	0.021	0.588	0.391	0.994
qaPSbg690KaX5av6xsSV4Q	U2sN2-HGvh27FyXKFlvkBg	0	0	4	1.0	{'neg': 0.262, 'neu': 0.412, 'pos': 0.326, 'compound': 0.7731}	0.262	0.412	0.326	0.7731
r5PLDU-4mSbde5XekTXSCA	lb0QUR5bc4O-Am4hNq9ZGg	0	0	2	4.0	{'neg': 0.064, 'neu': 0.784, 'pos': 0.152, 'compound': 0.902}	0.064	0.784	0.152	0.902
RBGGLBIOsn8rxv5Nott4zw	-ifGqKj4_GZIPGcR5ox-xQ	0	1	0	5.0	{'neg': 0.023, 'neu': 0.844, 'pos': 0.133, 'compound': 0.9688}	0.023	0.844	0.133	0.9688
9nTF596jDvBBia2EXXiOOg	9q0f4vm589zztMgR4INpZg	0	0	0	5.0	{'neg': 0.034, 'neu': 0.917, 'pos': 0.049, 'compound': 0.2716}	0.034	0.917	0.049	0.2716
AfEOC5LlBeMt708QEQUihw	LmLFkgMGX5X9G1FOM06iOQ	0	0	2	1.0	{'neg': 0.085, 'neu': 0.772, 'pos': 0.143, 'compound': 0.8775}	0.085	0.772	0.143	0.8775
OqF8enx9gNcgWgdODPYDLg	GvAc-axxNt817YfptzASEg	1	1	1	1.0	{'neg': 0.167, 'neu': 0.779, 'pos': 0.054, 'compound': -0.9203}	0.167	0.779	0.054	-0.9203
Z1wApYkrMmMQinjDdbSLbg	k9lY8q4dvX8BwCE2n4PpBA	0	0	0	1.0	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	1.0	0.0	0.0
DmuU3QC1AM9LPb_J8L2FGA	HQlMQTF9wckTGfKG9Ljtvg	1	1	1	5.0	{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.9674}	0.0	0.652	0.348	0.9674
F8lC8jHCykqPy0h2AJ9lnQ	3X1-GIl0tym4ZIwef4NNhA	0	0	0	4.0	{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.8974}	0.0	0.659	0.341	0.8974
cPEo3-TmIqCwHLFGKZgwGg	fMQm1xCaEckajci8EHLgoQ	0	0	0	5.0	{'neg': 0.183, 'neu': 0.734, 'pos': 0.083, 'compound': -0.6838}	0.183	0.734	0.083	-0.6838
HoSDjKKR8GtpeSqzrwf8ew	6KdJciNw5ja42-5XSFb3Fw	0	0	0	1.0	{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.5256}	0.139	0.861	0.0	-0.5256
1XOty79t4o_e3v0OOw8LTA	qOiMHf9eBZhsvDSqauIiug	2	0	2	5.0	{'neg': 0.033, 'neu': 0.75, 'pos': 0.217, 'compound': 0.9728}	0.033	0.75	0.217	0.9728
EdY6q0CO2mlATpoTFkvHAw	zN4M-hA86ps5I6BwXoqcqA	0	0	0	2.0	{'neg': 0.172, 'neu': 0.65, 'pos': 0.178, 'compound': 0.0406}	0.172	0.65	0.178	0.0406
HkbNItNrnXlNo59M0YyoMg	qpYllTutvfoKvT5OEl7gGQ	0	0	0	5.0	{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.9571}	0.0	0.699	0.301	0.9571
